 6/49 ;    December 31, 2013 ;    44-34-09-49-12-26 ;        16,000,000.00
 6/55 ;    December 30, 2013 ;    38-15-34-29-08-41 ;        81,386,628.00
 6/49 ;    December 29, 2013 ;    45-39-34-21-05-19 ;        30,577,516.00
 6/49 ;    December 26, 2013 ;    25-02-46-45-39-47 ;        24,635,820.00
 6/42 ;    December 24, 2013 ;    01-41-24-16-20-15 ;        28,628,940.00
 6/45 ;    December 23, 2013 ;    34-06-36-24-32-09 ;        36,225,376.00
 6/42 ;    December 21, 2013 ;    25-02-38-04-32-34 ;        26,068,812.00
 6/55 ;    December 21, 2013 ;    09-49-14-03-23-35 ;        63,430,208.00
 6/45 ;    December 20, 2013 ;    02-22-38-42-28-26 ;        31,568,076.00
 6/42 ;    December 19, 2013 ;    17-05-30-10-36-12 ;        22,213,608.00
 6/45 ;    December 18, 2013 ;    40-42-05-19-01-21 ;        25,568,112.00
 6/42 ;    December 17, 2013 ;    18-01-10-34-24-35 ;        18,298,172.00
 6/45 ;    December 16, 2013 ;    44-26-25-22-23-02 ;        21,565,004.00
 6/42 ;    December 14, 2013 ;    27-04-38-13-03-11 ;        14,495,172.00
 6/55 ;    December 14, 2013 ;    08-10-29-06-51-35 ;        48,518,244.00
 6/45 ;    December 13, 2013 ;    38-35-45-19-34-27 ;        17,612,860.00
 6/42 ;    December 12, 2013 ;    37-18-04-32-15-21 ;        11,085,664.00
 6/45 ;    December 11, 2013 ;    05-06-34-43-23-31 ;        11,893,000.00
 6/42 ;    December 10, 2013 ;    42-12-21-38-19-25 ;         8,282,872.00
 6/45 ;    December 09, 2013 ;    28-04-42-24-02-43 ;         9,000,000.00
 6/42 ;    December 07, 2013 ;    30-02-11-16-18-03 ;         6,000,000.00
 6/55 ;    December 07, 2013 ;    41-14-27-13-02-35 ;        35,101,912.00
 6/45 ;    December 06, 2013 ;    38-21-44-19-35-34 ;         9,000,000.00
 6/42 ;    December 05, 2013 ;    29-41-17-26-09-04 ;         6,000,000.00
 6/45 ;    December 04, 2013 ;    28-32-18-26-24-37 ;         9,000,000.00
 6/42 ;    December 03, 2013 ;    03-23-06-15-20-25 ;         6,000,000.00
 6/45 ;    December 02, 2013 ;    02-22-43-05-13-20 ;         9,000,000.00
 6/42 ;    November 30, 2013 ;    33-40-01-07-24-42 ;        28,195,300.00
 6/55 ;    November 30, 2013 ;    24-35-40-03-20-48 ;        30,000,000.00
 6/45 ;    November 29, 2013 ;    37-45-33-06-04-31 ;         9,000,000.00
